name,category 1,category 2,category 3,cuisine 1,cusine 2,address,phone,map
Acapulco,Restaurant,,,Mexican,,"1116 Manhattan Avenue, Brooklyn, NY 11222",718.349.8429,"http://www.google.com/maps?q=1116+Manhattan+Ave,+Brooklyn,+NY+11222,+USA&ie=UTF8&ll=40.737698,-73.955305&spn=0.006747,0.014591&z=16&iwloc=addr&om=1"
Acqua Santa,Restaurant,,,Italian,,"556 Driggs Avenue, Brooklyn, NY 11211",718 384.9695,"http://maps.google.com/maps?f=q&hl=en&q=556+Driggs+Ave&sll=40.716992,-73.958819&sspn=0.022541,0.03974&ie=UTF8&z=15&om=1&iwloc=A"
Alligator Lounge,Bar,,,,,"600 Metropolitan Avenue, Brooklyn, NY 11211",718.599.4440,"http://maps.google.com/?q=600+Metropolitan+Ave,+Brooklyn,+NY,+US&ie=UTF8&z=16&om=1&iwloc=addr"
Amarin Cafe,Restaurant,,,Thai,,"617 Manhattan Avenue, Brooklyn, NY 11222",718.349.2788,"http://www.google.com/maps?q=617+Manhattan+Ave,+Brooklyn,+NY+11222,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Anna Maria Pizzeria,Restaurant,,,Pizza,,"179 Bedford Avenue, Brooklyn, NY 11211",718.599.4550 ,"http://www.google.com/maps?q=179+Bedford+Ave,+Brooklyn,+New+York+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Anytime,Restaurant,,,Comfort,,"20 Skillman Avenue, Brooklyn, NY 11211",718.218.7272,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=20+Skillman+Ave.+,+Brooklyn,+NY+11211&sll=40.715786,-73.950723&sspn=0.001781,0.004726&ie=UTF8&ll=40.717144,-73.950713&spn=0.007123,0.018904&z=16&iwloc=addr"
Art Land,Bar,,,,,"609 Grand Street, Brooklyn, NY 11211",718.384.9802,"http://maps.google.com/maps?f=q&hl=en&q=609+Grand+St.,+Brooklyn,+NY+11211&sll=40.714085,-73.949015&sspn=0.010995,0.019205&layer=&ie=UTF8&z=16&ll=40.711272,-73.947687&spn=0.010995,0.019205&om=1&iwloc=addr"
Atlas Cafe,Restaurant,,,Coffeeshop,,"116 Havermayer Street, Brooklyn, NY 11211  ",718.782.7470,"http://maps.google.com/maps?f=q&hl=en&q=116+Havemeyer+Street&sll=40.716992,-73.958819&sspn=0.022541,0.03974&ie=UTF8&z=15&om=1"
Aurora,Restaurant,,,Italian,,"70 Grand Street, Brooklyn, NY 11211",718.388.5100,"http://maps.google.com/maps?f=q&hl=en&q=70+Grand+Street&sll=40.716992,-73.958819&sspn=0.022541,0.03974&ie=UTF8&z=15&om=1&iwloc=A"
Baci & Abbracci,Restaurant,,,Italian,Pizza,"204 Grand Street, Brooklyn, NY 11211",718.599.6599,"http://www.google.com/maps?q=204+Grand+St,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Bahia,Restaurant,,,Salvadoran,,"690 Grand Street, Brooklyn, NY 11211",718.218.9592,"http://www.google.com/maps?q=690+Grand+St,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Balanza,Bar,,,,,"426 Lorimer Street, Brooklyn, NY 11206",718.302.5055,"http://www.google.com/maps?q=426+Lorimer+St,+Brooklyn,+New+York+11206,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Bamonte's,Restaurant,,,Italian,,"32 Withers Street, Brooklyn, NY 11211",718.384.8831 ,"http://www.google.com/maps?q=32+Withers+St,+Brooklyn,+NY+11211,+USA&ie=UTF8&om=1&z=16&iwloc=addr"
Barberry,Restaurant,,,Mediterranean,Tapas,"152 Metropolitan Avenue, Brooklyn, NY 11211",718.599.3027,"http://www.google.com/maps?q=152+Metropolitan+Ave,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Barcade,Bar,,,,,"388 Union Avenue, Brooklyn, NY 11211",718.302.6464,"http://maps.google.com/maps?q=388+Union+Ave,+Brooklyn,+Kings,+New+York+11211,+United+States&ie=UTF8&oe=UTF-8&client=firefox-a&hl=en&sll=37.0625,-95.677068&sspn=46.764446,78.662109&z=16&om=1&iwloc=addr"
Barosa,Restaurant,,,Italian,Pizza,"312 Graham Avenue, Brooklyn, NY 11211",718.218.8135,"http://www.google.com/maps?q=312+Graham+Ave,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Bedford and Berry,Restaurant,,,Latin American,,"109 South 6th Street, Brooklyn, NY 11211",718.782.2333,"http://maps.google.com/maps?q=109+S+6th+St,+Brooklyn,+NY+11211,+USA&sa=X&oi=map&ct=title"
Bembe,Bar,Music Venue,,,,"81 South 6th Street, Brooklyn, NY 11211",718.387.5389,"http://www.google.com/maps?q=81+S+6th+St,+Brooklyn,+New+York+11211,+USA&ie=UTF8&z=16&om=1&iwloc=addr"
Bep,Restaurant,,,Vietnamese,,"346 Bedford Avenue, Brooklyn, NY 11211",718.218.7067 ,"http://maps.google.com/maps?q=346+Bedford+Avenue,+Brooklyn+NY+11211&oe=utf-8&client=firefox-a&ie=UTF8&split=0&gl=us&ei=EQKmSYvyO5DQnQf-uKTnDw&z=16&iwloc=addr"
Black Betty,Restaurant,Bar,Music Venue,Mediterranean,,"366 Metropolitan Avenue, Brooklyn, NY 11211",718.599.0243,"http://www.google.com/maps?f=q&hl=en&q=366+Metropolitan+Ave.,+Brooklyn,+NY+11211&sll=40.710996,-73.965347&sspn=0.010833,0.020084&layer=&ie=UTF8&z=16&ll=40.7135,-73.96215&spn=0.010832,0.020084&om=1&iwloc=addr"
Blackbird Parlour,Restaurant,,,Sandwiches,,"197 Bedford Avenue, Brooklyn, NY 11211",718.599.2707,"http://maps.google.com/maps?q=197+Bedford+Ave,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Bliss,Restaurant,,,Vegetarian,,"191 Bedford Avenue, Brooklyn, NY 11211",718 599.2547,"http://maps.google.com/maps?f=q&hl=en&q=191+Bedford+Avenue&sll=40.721933,-73.962922&sspn=0.005708,0.010042&ie=UTF8&z=16&ll=40.721925,-73.960819&spn=0.011416,0.020084&om=1&iwloc=A"
Bodega,Bar,Music Venue,,,,"1089 Broadway, Williamsburg Brooklyn",n/a,"http://maps.google.com/maps?hl=en&client=firefox-a&q=1089+Broadway,+brooklyn+ny&ie=UTF8&ll=40.696242,-73.930607&spn=0.007061,0.013819&z=16&iwloc=addr"
